antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Pune'}),frozenset({'Residential apartment'}),0.0313588850174216,0.027874564459930314,0.027874564459930314,0.888888888888889,31.888888888888893,1.0,0.02700044919812065,8.749128919860633,0.9999999999999999,0.888888888888889,0.8857029072082836,0.9444444444444444
"frozenset({'Kanyakumari', '0BHK'})",frozenset({'Plot/Land'}),0.0313588850174216,0.0313588850174216,0.0313588850174216,1.0,31.88888888888889,1.0,0.03037550534788573,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'Plot/Land'}),"frozenset({'Kanyakumari', '0BHK'})",0.0313588850174216,0.0313588850174216,0.0313588850174216,1.0,31.88888888888889,1.0,0.03037550534788573,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'Residential apartment'}),frozenset({'Pune'}),0.027874564459930314,0.0313588850174216,0.027874564459930314,1.0,31.88888888888889,1.0,0.02700044919812065,inf,0.9964157706093189,0.888888888888889,1.0,0.9444444444444444
frozenset({'Noida Greater Noida Expressway'}),"frozenset({'Noida', 'Apartment', 'Under_50L'})",0.027874564459930314,0.03484320557491289,0.027874564459930314,1.0,28.700000000000003,1.0,0.0269033252801418,inf,0.9928315412186379,0.8,1.0,0.9
"frozenset({'Noida', 'Apartment'})",frozenset({'Noida Greater Noida Expressway'}),0.03484320557491289,0.027874564459930314,0.027874564459930314,0.8,28.700000000000003,1.0,0.0269033252801418,4.86062717770035,1.0,0.8,0.7942652329749105,0.9
frozenset({'Noida Greater Noida Expressway'}),"frozenset({'Noida', 'Apartment'})",0.027874564459930314,0.03484320557491289,0.027874564459930314,1.0,28.700000000000003,1.0,0.0269033252801418,inf,0.9928315412186379,0.8,1.0,0.9
"frozenset({'Noida Greater Noida Expressway', 'Under_50L'})","frozenset({'Noida', 'Apartment'})",0.027874564459930314,0.03484320557491289,0.027874564459930314,1.0,28.700000000000003,1.0,0.0269033252801418,inf,0.9928315412186379,0.8,1.0,0.9
"frozenset({'Apartment', 'Under_50L'})","frozenset({'Noida Greater Noida Expressway', 'Noida'})",0.03484320557491289,0.027874564459930314,0.027874564459930314,0.8,28.700000000000003,1.0,0.0269033252801418,4.86062717770035,1.0,0.8,0.7942652329749105,0.9
"frozenset({'Noida Greater Noida Expressway', 'Apartment'})","frozenset({'Noida', 'Under_50L'})",0.027874564459930314,0.03484320557491289,0.027874564459930314,1.0,28.700000000000003,1.0,0.0269033252801418,inf,0.9928315412186379,0.8,1.0,0.9
"frozenset({'Noida', 'Under_50L'})","frozenset({'Noida Greater Noida Expressway', 'Apartment'})",0.03484320557491289,0.027874564459930314,0.027874564459930314,0.8,28.700000000000003,1.0,0.0269033252801418,4.86062717770035,1.0,0.8,0.7942652329749105,0.9
"frozenset({'Noida', 'Apartment'})","frozenset({'Noida Greater Noida Expressway', 'Under_50L'})",0.03484320557491289,0.027874564459930314,0.027874564459930314,0.8,28.700000000000003,1.0,0.0269033252801418,4.86062717770035,1.0,0.8,0.7942652329749105,0.9
"frozenset({'Noida Greater Noida Expressway', 'Noida'})","frozenset({'Apartment', 'Under_50L'})",0.027874564459930314,0.03484320557491289,0.027874564459930314,1.0,28.700000000000003,1.0,0.0269033252801418,inf,0.9928315412186379,0.8,1.0,0.9
frozenset({'Plot/Land'}),frozenset({'Kanyakumari'}),0.0313588850174216,0.03484320557491289,0.0313588850174216,1.0,28.700000000000003,1.0,0.030266240940159526,inf,0.9964028776978417,0.9,1.0,0.95
frozenset({'Kanyakumari'}),frozenset({'Plot/Land'}),0.03484320557491289,0.0313588850174216,0.0313588850174216,0.9,28.700000000000003,1.0,0.030266240940159526,9.686411149825787,1.0000000000000002,0.9,0.8967625899280576,0.95
"frozenset({'Plot/Land', '0BHK'})",frozenset({'Kanyakumari'}),0.0313588850174216,0.03484320557491289,0.0313588850174216,1.0,28.700000000000003,1.0,0.030266240940159526,inf,0.9964028776978417,0.9,1.0,0.95
frozenset({'Kanyakumari'}),"frozenset({'Plot/Land', '0BHK'})",0.03484320557491289,0.0313588850174216,0.0313588850174216,0.9,28.700000000000003,1.0,0.030266240940159526,9.686411149825787,1.0000000000000002,0.9,0.8967625899280576,0.95
"frozenset({'Noida', 'Under_50L'})",frozenset({'Noida Greater Noida Expressway'}),0.03484320557491289,0.027874564459930314,0.027874564459930314,0.8,28.700000000000003,1.0,0.0269033252801418,4.86062717770035,1.0,0.8,0.7942652329749105,0.9
frozenset({'Noida Greater Noida Expressway'}),"frozenset({'Noida', 'Under_50L'})",0.027874564459930314,0.03484320557491289,0.027874564459930314,1.0,28.700000000000003,1.0,0.0269033252801418,inf,0.9928315412186379,0.8,1.0,0.9
"frozenset({'Apartment', 'Under_50L'})",frozenset({'Noida Greater Noida Expressway'}),0.03484320557491289,0.027874564459930314,0.027874564459930314,0.8,28.700000000000003,1.0,0.0269033252801418,4.86062717770035,1.0,0.8,0.7942652329749105,0.9
frozenset({'Noida Greater Noida Expressway'}),"frozenset({'Apartment', 'Under_50L'})",0.027874564459930314,0.03484320557491289,0.027874564459930314,1.0,28.700000000000003,1.0,0.0269033252801418,inf,0.9928315412186379,0.8,1.0,0.9
"frozenset({'Noida', 'Apartment', 'Under_50L'})",frozenset({'Noida Greater Noida Expressway'}),0.03484320557491289,0.027874564459930314,0.027874564459930314,0.8,28.700000000000003,1.0,0.0269033252801418,4.86062717770035,1.0,0.8,0.7942652329749105,0.9
"frozenset({'Mumbai', 'Under_50L'})",frozenset({'1BHK'}),0.027874564459930314,0.04529616724738676,0.027874564459930314,1.0,22.076923076923077,1.0,0.026611953526205247,inf,0.9820788530465949,0.6153846153846153,1.0,0.8076923076923077
frozenset({'1BHK'}),"frozenset({'Mumbai', 'Under_50L'})",0.04529616724738676,0.027874564459930314,0.027874564459930314,0.6153846153846153,22.076923076923073,1.0,0.026611953526205247,2.527526132404181,1.0,0.6153846153846153,0.604356217259443,0.8076923076923077
"frozenset({'Land', 'Under_50L'})","frozenset({'Chennai', '0BHK'})",0.03484320557491289,0.0313588850174216,0.020905923344947737,0.6000000000000001,19.133333333333336,1.0,0.01981327926768566,2.4216027874564467,0.9819494584837547,0.4615384615384616,0.5870503597122303,0.6333333333333334
"frozenset({'Chennai', '0BHK'})","frozenset({'Land', 'Under_50L'})",0.0313588850174216,0.03484320557491289,0.020905923344947737,0.6666666666666667,19.133333333333336,1.0,0.01981327926768566,2.8954703832752617,0.9784172661870504,0.4615384615384616,0.6546329723225031,0.6333333333333334
"frozenset({'Chennai', '0BHK'})",frozenset({'Land'}),0.0313588850174216,0.05574912891986063,0.027874564459930314,0.888888888888889,15.944444444444446,1.0,0.026126333936310992,8.498257839721258,0.9676258992805755,0.4705882352941176,0.8823288232882329,0.6944444444444444
frozenset({'Land'}),"frozenset({'Chennai', '0BHK'})",0.05574912891986063,0.0313588850174216,0.027874564459930314,0.5,15.944444444444445,1.0,0.026126333936310992,1.9372822299651569,0.9926199261992621,0.4705882352941176,0.4838129496402877,0.6944444444444444
"frozenset({'Chennai', 'Under_50L'})",frozenset({'Land'}),0.024390243902439025,0.05574912891986063,0.020905923344947737,0.8571428571428572,15.375000000000002,1.0,0.01954618849324382,6.609756097560979,0.9583333333333335,0.3529411764705882,0.8487084870848709,0.6160714285714286
"frozenset({'Chennai', '0BHK', 'Under_50L'})",frozenset({'Land'}),0.024390243902439025,0.05574912891986063,0.020905923344947737,0.8571428571428572,15.375000000000002,1.0,0.01954618849324382,6.609756097560979,0.9583333333333335,0.3529411764705882,0.8487084870848709,0.6160714285714286
"frozenset({'Chennai', 'Under_50L'})","frozenset({'Land', '0BHK'})",0.024390243902439025,0.05574912891986063,0.020905923344947737,0.8571428571428572,15.375000000000002,1.0,0.01954618849324382,6.609756097560979,0.9583333333333335,0.3529411764705882,0.8487084870848709,0.6160714285714286
"frozenset({'1BHK', 'Under_50L'})",frozenset({'Mumbai'}),0.0313588850174216,0.059233449477351915,0.027874564459930314,0.888888888888889,15.00653594771242,1.0,0.026017069528584784,8.466898954703838,0.9635791366906474,0.44444444444444436,0.8818930041152264,0.6797385620915033
"frozenset({'Kakinada', '50L_1Cr'})",frozenset({'Flat'}),0.03832752613240418,0.03832752613240418,0.020905923344947737,0.5454545454545455,14.23140495867769,1.0,0.01943692408551761,2.115679442508711,0.9667874396135266,0.37500000000000006,0.52733860342556,0.5454545454545455
frozenset({'Flat'}),"frozenset({'Kakinada', '50L_1Cr'})",0.03832752613240418,0.03832752613240418,0.020905923344947737,0.5454545454545455,14.23140495867769,1.0,0.01943692408551761,2.115679442508711,0.9667874396135266,0.37500000000000006,0.52733860342556,0.5454545454545455
"frozenset({'Noida', 'Under_50L'})",frozenset({'Apartment'}),0.03484320557491289,0.07317073170731707,0.03484320557491289,1.0,13.666666666666668,1.0,0.03229370272796805,inf,0.96028880866426,0.4761904761904761,1.0,0.7380952380952381
"frozenset({'Noida Greater Noida Expressway', 'Noida'})",frozenset({'Apartment'}),0.027874564459930314,0.07317073170731707,0.027874564459930314,1.0,13.666666666666668,1.0,0.025834962182374438,inf,0.953405017921147,0.3809523809523809,1.0,0.6904761904761905
"frozenset({'Noida Greater Noida Expressway', 'Under_50L'})",frozenset({'Apartment'}),0.027874564459930314,0.07317073170731707,0.027874564459930314,1.0,13.666666666666668,1.0,0.025834962182374438,inf,0.953405017921147,0.3809523809523809,1.0,0.6904761904761905
"frozenset({'Noida Greater Noida Expressway', 'Noida', 'Under_50L'})",frozenset({'Apartment'}),0.027874564459930314,0.07317073170731707,0.027874564459930314,1.0,13.666666666666668,1.0,0.025834962182374438,inf,0.953405017921147,0.3809523809523809,1.0,0.6904761904761905
frozenset({'Noida Greater Noida Expressway'}),frozenset({'Apartment'}),0.027874564459930314,0.07317073170731707,0.027874564459930314,1.0,13.666666666666668,1.0,0.025834962182374438,inf,0.953405017921147,0.3809523809523809,1.0,0.6904761904761905
frozenset({'House'}),"frozenset({'Kakinada', 'Above_2Cr'})",0.027874564459930314,0.05574912891986063,0.020905923344947737,0.7500000000000001,13.453125000000002,1.0,0.019351940657286116,3.7770034843205593,0.9522102747909199,0.3333333333333333,0.7352398523985241,0.5625000000000001
"frozenset({'Above_2Cr', 'Apartment'})",frozenset({'Mumbai'}),0.0313588850174216,0.059233449477351915,0.024390243902439025,0.7777777777777778,13.130718954248366,1.0,0.022532748971093496,4.2334494773519165,0.9537512846865366,0.36842105263157887,0.7637860082304527,0.5947712418300654
frozenset({'Noida Greater Noida Expressway'}),frozenset({'Noida'}),0.027874564459930314,0.07665505226480836,0.027874564459930314,1.0,13.045454545454547,1.0,0.025737838264395588,inf,0.949820788530466,0.3636363636363636,1.0,0.6818181818181819
"frozenset({'Noida Greater Noida Expressway', 'Apartment', 'Under_50L'})",frozenset({'Noida'}),0.027874564459930314,0.07665505226480836,0.027874564459930314,1.0,13.045454545454547,1.0,0.025737838264395588,inf,0.949820788530466,0.3636363636363636,1.0,0.6818181818181819
"frozenset({'Noida Greater Noida Expressway', 'Under_50L'})",frozenset({'Noida'}),0.027874564459930314,0.07665505226480836,0.027874564459930314,1.0,13.045454545454547,1.0,0.025737838264395588,inf,0.949820788530466,0.3636363636363636,1.0,0.6818181818181819
"frozenset({'Apartment', 'Under_50L'})",frozenset({'Noida'}),0.03484320557491289,0.07665505226480836,0.03484320557491289,1.0,13.045454545454547,1.0,0.03217229783049448,inf,0.9566787003610109,0.4545454545454545,1.0,0.7272727272727273
"frozenset({'Noida Greater Noida Expressway', 'Apartment'})",frozenset({'Noida'}),0.027874564459930314,0.07665505226480836,0.027874564459930314,1.0,13.045454545454547,1.0,0.025737838264395588,inf,0.949820788530466,0.3636363636363636,1.0,0.6818181818181819
"frozenset({'Mumbai', 'Above_2Cr'})",frozenset({'Apartment'}),0.027874564459930314,0.07317073170731707,0.024390243902439025,0.875,11.958333333333334,1.0,0.02235064162488315,7.414634146341464,0.942652329749104,0.3181818181818182,0.8651315789473685,0.6041666666666667
